annee_scolaire,diplome,libelle_diplome,code_niveau,type_diplome,code_groupe_specialite,libelle_specialite,libelle_specialite_com,id_og,libelle_og,id_etab,nom_complet_cfa,numero_section,duree_formation_mois,annee_formation,id_siteformation,code_uai_site,libelle_lien_cfa,nom_site_formation,adresse1_site,adresse2_site,adresse3_site,code_commune_site_insee,code_postal_site,libelle_ville_site,num_section,age_jeune_decembre,handicap_oui_non_vide,code_sexe,sexe,code_qualite,libelle_qualite,code_nationalite,libelle_nationalite,code_pcs,libelle_pcs_parent,code_statut_jeune,libelle_statut_jeune,code_origine_prec_cfa,libelle_origine_prec_cfa,code_origine_annee_prec,libelle_origine_annee_prec,code_depart_jeune_insee,code_commune_jeune_insee,code_postal_jeune,libelle_ville_jeune,code_naf_entreprise,depart_entreprise,code_insee_entreprise,code_uai_etab_annee_prec,ref_og,ref_etab,ref_formation,ref_diplome,ref_entreprise,ref_jeune
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,212,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes (Ermont)",25,CFA du Bâtiment et des Travaux Publics d'Ermont,22,24,1,58,0951625A,Local du CFA,CFA du Bâtiment et des Travaux Publics,18 bis rue Ferdinand Buisson,,,95219,95120,ERMONT,22,17,,M,Masculin,D,Demi-pensionnaire,1,France,61,Ouvrier qualifié,A,Contrat d'apprentissage,7,SEGPA (6ème a la 3ème) et SES,73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),95,95428,95160,MONTMORENCY,4322A,95.0,95229.0,0951625A,e3c501ff-dbdf-4eea-8f01-c268134aefcf,e92f1c91-8838-47a1-a8dd-60f75353fb6a,95f19a9a-8503-4410-b6d1-9c3545b2277a,444987a6-ec5b-4808-92e0-b6d8f8b26341,b593456c-1017-4807-b2ff-cfe9cb4dfc28,fbb731d4-75ad-42a1-b755-2b9884e8019d
9/10/2024,51023203,Techniques du gros oeuvre du bâtiment (BEP),5,BEP,232,Bâtiment : construction et couverture,Bâtiment : construction et couverture,15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,41,24,2,1411,0770943G,UFA (L6232-8),Lycée des Métiers Benjamin-Franklin,Rue de la Forêt,,,77389,77000,ROCHETTE,41,19,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),79,1ERE ANNEE BEP (STATUT APPRENTISSAGE),77,77135,77540,COURPALAY,4399C,77.0,77222.0,0770943G,942c586c-5977-45ad-8e46-0adc8426b2ac,de6bc966-a1e4-4b63-a20e-f955b33dd654,93ea47a2-266d-44ec-8a9f-f333e5320280,e74e73be-5fc7-43ec-a153-99ebe542acb4,fd96ba1f-9212-4062-bcb0-9cd883fffe64,84c26ad6-589d-43cc-90fa-6b5062c19f47
9/10/2024,50025523,Préparation et réalisation d'ouvrages électriques (CAP),5,CAP,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,33,24,2,41,0771654E,Local du CFA,CFA du BTP de Nangis,3 bis avenue du Général de Gaulle,,,77327,77370,NANGIS,33,18,,M,Masculin,D,Demi-pensionnaire,1,France,61,Ouvrier qualifié,A,Contrat d'apprentissage,15,4EME GENERALE (en collège),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77188,77590,FONTAINE-LE-PORT,4321A,77.0,77188.0,0771654E,ca3c3611-1e5a-4e11-958d-09a85170e86c,750901f4-3ef3-40fb-8999-6b253bc3b26c,d1300df0-553e-4006-b6eb-050ee3700502,0be9c251-9eeb-4c2c-831b-a4c11d2f630c,74b4bf57-9b48-4f4a-a2b8-bc2b30334969,4c9333a9-9b2c-40ec-9980-962ba3e0356d
9/10/2024,50023217,Maçon (CAP),5,CAP,232,Bâtiment : construction et couverture,Bâtiment : construction et couverture,214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,15,24,1,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,15,17,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,47,SECONDE GENERALE OU TECHNOLOGIQUE (en lycée),47,SECONDE GENERALE OU TECHNOLOGIQUE (en lycée),93,93014,93390,CLICHY-SOUS-BOIS,4399C,93.0,93005.0,93,cdd61bf2-ca82-445d-b277-0e7cdbf51f2f,3cb68a0d-53f9-4abb-b1e5-8eafc036cf68,e223bf22-9684-4f8c-b699-fc9f16de3b65,4920f172-bf23-44f7-9fe1-64024961b552,f53aed19-caea-4eea-897e-817e24421d1a,2bf09311-2afd-4291-b740-70c5a3e3603a
9/10/2024,50033604,Esthétique cosmétique : soins esthétiques - conseils - vente (CAP),5,CAP,336,"Coiffure, esthétique, et autres spécialités des services aux personnes","Coiffure, esthétique",39,Association de Formation Coiffure,41,CFA Soins Personnels Coiffure - Ambroise-Croisat,13,24,1,638,0750739W,Local du CFA,CFA de la Coiffure Ambroise Croisat,27 boulevard Ney,,,75118,75018,PARIS,13,18,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),77,77183,77260,LA FERTE-SOUS-JOUARRE,9602B,92.0,92012.0,0771880A,1c028e4c-bcb3-4209-be00-903e7456b151,a1e37951-ce28-4868-b00d-162490f2c5e4,7b7f0db5-bff9-4c70-9f2d-dd502ae76f9e,6f458f1c-cea6-4704-a31e-3c59b1f03a8f,a8dfc5bb-059f-47eb-b4bf-d15296f69370,13cfeb68-6107-4e4d-89d2-fe0c25645ce9
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,18,24,2,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,18,18,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),93,93015,93470,COUBRON,4322B,93.0,93046.0,0931815T,38d41697-55ed-481c-9d1f-25b2287d75f9,7262d9ab-9cd0-4909-a776-10769c18d55f,f27738fd-1d23-424a-95f1-b477fbdec25c,764fcaac-9bf3-4c52-9aef-0a7bf43f2773,c15e9544-94d2-4027-837b-03a01bbccfc3,2f2bf68e-0d44-4c6a-82e9-9d2ee5093ab5
9/10/2024,32031405,Assistant de gestion de PME-PMI (BTS),3,BTS,314,"Comptabilité, gestion","Comptabilité, gestion",33,Centre Régional de Formation Multiprofessionnel,35,CFA CERFAL - Centre Régional Multiprofessionnel,77,24,2,1333,0783323N,UFA (L6232-8),Lycée Saint-Thomas-de-Villeneuve,15 rue de Louviers,,,78551,78100,SAINT-GERMAIN-EN-LAYE,77,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),93,1ERE ANNEE BTS (STATUT APPRENTISSAGE),78,78502,78560,LE PORT-MARLY,4669C,78.0,78551.0,0783323N,7a0aea84-0cb6-46da-ab50-ba09db31cf08,976c7079-7c7c-4be8-88ce-f0336408ebfd,a0d876c4-6dbc-43be-9d00-9574168b1ef5,47805709-a24b-4842-9b95-cb40f3d3d14f,3c6ce276-8e3b-4b92-b652-1a75b8393ce4,77d18312-ebf6-476b-903c-012895380ba0
9/10/2024,32031209,Management des unités commerciales (BTS),3,BTS,312,"Commerce, vente","Commerce, vente",33,Centre Régional de Formation Multiprofessionnel,35,CFA CERFAL - Centre Régional Multiprofessionnel,79,24,1,1333,0783323N,UFA (L6232-8),Lycée Saint-Thomas-de-Villeneuve,15 rue de Louviers,,,78551,78100,SAINT-GERMAIN-EN-LAYE,79,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),78,78158,78150,LE CHESNAY,4771Z,75.0,75107.0,993,273ef1a6-f6f4-4966-8d8c-c6e2e8ff9470,61648c70-7497-4915-9e9e-acf690cb5891,1565ff91-c713-4708-bfaf-621655563d2f,8e1736be-4848-4bcd-a2aa-0690c416709a,d0be668f-f2ea-4d29-8cfd-2b1101da27f8,73a88b93-9e83-4f15-b888-f82f19ebd57f
9/10/2024,50022136,Pâtissier (CAP),5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,68,24,1,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,68,17,N,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),23,3EME GENERALE (en collège),92,92004,92600,ASNIERES-SUR-SEINE,1071C,95.0,95018.0,75,1d6cc9f5-4450-4d7e-bbff-c90be40c13bb,7d7d0aed-088f-4132-a07a-d80e060b0b63,e18fc73c-0555-439e-808f-594c4c5c88ae,5db4e6e4-e375-45c5-b991-074fdeb9bab4,0b691387-48dd-4113-8654-683a0083cb57,0f50a6b6-c26c-4f7e-b23e-c185312630c8
9/10/2024,40025507,Systèmes électroniques numériques (BAC PRO),4,BAC PRO,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",178,Association  Institut des Métiers et des Compétence en Alternance,330,CFA IMC Alternance,14,24,1,1335,0755197S,Local du CFA,IMC Alternance,5 rue Saint-Denis,,,75101,75001,PARIS,14,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,999,INCONNUE,999,INCONNUE,93,93045,93045,LES LILAS,6202A,75.0,75056.0,93,aeb5927b-c28a-4d09-ade0-ecd1537284a8,86673ca7-0105-4120-b554-38d79472d242,ad0b8116-e71a-4526-8ae1-41d7ac3f7124,b2f38c2f-bece-4160-a80b-7f54052b48fa,8a44a75d-2fce-42b4-bacf-6b043fd771b2,1b3b3758-3e4f-441c-844f-53c7a8477665
9/10/2024,25031335,"Assurance, banque, finance, spécialité chargé de clientèle particuliers (LP)",2,LICENCE PRO,313,"Finances, banque, assurances","Finances, banque, assurances, immobilier",16,Institut de Formation de la Profession de l'assurance,17,CFA de l'Assurance,16,12,1,537,0922650F,Local du CFA,CFA de l'Assurance,20 bis Jardin Boieldieu,,,92062,92071,PARIS-LA-DEFENSE,16,23,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,95,2EME ANNEE BTS (STATUT APPRENTISSAGE),95,2EME ANNEE BTS (STATUT APPRENTISSAGE),75,75120,75020,PARIS,6512Z,75.0,75108.0,75,40649a31-9aeb-4091-bc65-0182613f09a5,08c43329-b8ad-4157-95b0-f9ee87f65210,c9ced1ca-d9dc-497d-8801-263d8539aa97,c4fc9c98-9068-4c68-b75c-3560c72499ec,c12f5e64-3bf6-4019-993e-2e4df0929149,58e1a450-95de-4c9a-888a-4fff93543e03
9/10/2024,50025523,Préparation et réalisation d'ouvrages électriques (CAP),5,CAP,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,33,24,2,41,0771654E,Local du CFA,CFA du BTP de Nangis,3 bis avenue du Général de Gaulle,,,77327,77370,NANGIS,33,18,,M,Masculin,I,Interne,1,France,56,"Personnel, service direct aux particuliers",A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77279,77130,MAROLLES-SUR-SEINE,4321A,77.0,77241.0,0771654E,7bd0d869-a6db-4eba-a240-a8d203d96e5f,29a84369-f381-44b2-bac7-7ebb9552a843,7dffd36f-c861-445d-b317-f06d1392cec0,e2eca202-9025-45c9-93f6-0e189b7b3dda,85b52b61-c797-4f7f-b65b-f9629f59f8a1,bbf240aa-efee-4631-b9fe-a9da260c3034
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,211,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes (Brétigny)",24,CFA du Bâtiment et des Travaux Publics de Brétigny,14,24,1,57,0911333E,Local du CFA,CFA du Bâtiment et des Travaux Publics,5 avenue Albert Camus,,,91103,91220,BRETIGNY-SUR-ORGE,14,19,,M,Masculin,E,Externe,1,France,37,Cadre administratif et commercial d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),23,3EME GENERALE (en collège),91,91552,91180,SAINT-GERMAIN-LES-ARPAJON,4322A,91.0,91552.0,0911899V,66354608-0862-47cb-a706-3b3cce2b13bf,832dbdde-3eb2-46b1-8346-e81c9159a219,b58768eb-2175-4a21-9ec5-ec49a068bcb1,07fd8789-6b87-4f91-9b20-764339f0b935,923f1e75-f4ef-45a7-bbcc-0cd9687ebddc,37b98d4a-262c-45b4-8b65-e62056410dfe
9/10/2024,45023311,Equipements sanitaires (BP),4,BP,233,Bâtiment : finitions,Bâtiment : finition,3,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes - St Denis",3,CFA du Bâtiment et des Travaux Publics de Saint-Denis,3,24,2,3,0932230U,Local du CFA,CFA du Bâtiment et des Travaux Publics,21 rue Prairial,,,93066,93200,SAINT-DENIS,3,22,,M,Masculin,E,Externe,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,111,EMPLOI (Y COMPRIS CES),85,1ERE ANNEE BP OU BM (STATUT APPRENTISSAGE),93,93051,93160,NOISY-LE-GRAND,4322A,75.0,75117.0,0932230U,66f03135-ee59-43d5-ae20-24bffc6f0055,4da09ecc-6140-41aa-ae67-c02a9fb3403a,9c757189-d3f0-4de8-8970-3921459966b4,7faba8d3-288b-4ee4-9a0f-551a78b58320,39eea210-ed75-4cfe-86f2-24f6e0a45569,8379f6a4-b5d5-4df2-820a-3ae140086fe1
9/10/2024,40033402,Restauration (BAC PRO),4,BAC PRO,334,"Accueil, hôtellerie, tourisme","Accueil, hôtellerie, tourisme",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,5,24,2,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,5,19,N,M,Masculin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),89,1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE),92,92025,92700,COLOMBES,5610A,75.0,75116.0,0752830U,d92c411a-d0cc-4db3-bca7-a46b381409af,672a82ca-0e9e-4b48-9420-61bb16a16420,7de79f6d-83eb-4d94-b492-d091c9504ccf,d850d4df-4858-4483-bf57-5825e39fb83d,b4903156-1221-4e90-96bc-45f5da60fcce,89b51f3e-8ffd-4353-bcb8-35d9cadc3ea5
