annee_scolaire,diplome,libelle_diplome,code_niveau,type_diplome,code_groupe_specialite,libelle_specialite,libelle_specialite_com,id_og,libelle_og,id_etab,nom_complet_cfa,numero_section,duree_formation_mois,annee_formation,id_siteformation,code_uai_site,libelle_lien_cfa,nom_site_formation,adresse1_site,adresse2_site,adresse3_site,code_commune_site_insee,code_postal_site,libelle_ville_site,num_section,age_jeune_decembre,handicap_oui_non_vide,code_sexe,sexe,code_qualite,libelle_qualite,code_nationalite,libelle_nationalite,code_pcs,libelle_pcs_parent,code_statut_jeune,libelle_statut_jeune,code_origine_prec_cfa,libelle_origine_prec_cfa,code_origine_annee_prec,libelle_origine_annee_prec,code_depart_jeune_insee,code_commune_jeune_insee,code_postal_jeune,libelle_ville_jeune,code_naf_entreprise,depart_entreprise,code_insee_entreprise,code_uai_etab_annee_prec
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,212,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes (Ermont)",25,CFA du Bâtiment et des Travaux Publics d'Ermont,22,24,1,58,0951625A,Local du CFA,CFA du Bâtiment et des Travaux Publics,18 bis rue Ferdinand Buisson,,,95219,95120,ERMONT,22,17,,M,Masculin,D,Demi-pensionnaire,1,France,61,Ouvrier qualifié,A,Contrat d'apprentissage,7,SEGPA (6ème a la 3ème) et SES,73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),95,95428,95160,MONTMORENCY,4322A,95,95229,0951625A
9/10/2024,51023203,Techniques du gros oeuvre du bâtiment (BEP),5,BEP,232,Bâtiment : construction et couverture,Bâtiment : construction et couverture,15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,41,24,2,1411,0770943G,UFA (L6232-8),Lycée des Métiers Benjamin-Franklin,Rue de la Forêt,,,77389,77000,ROCHETTE,41,19,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),79,1ERE ANNEE BEP (STATUT APPRENTISSAGE),77,77135,77540,COURPALAY,4399C,77,77222,0770943G
9/10/2024,50025523,Préparation et réalisation d'ouvrages électriques (CAP),5,CAP,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,33,24,2,41,0771654E,Local du CFA,CFA du BTP de Nangis,3 bis avenue du Général de Gaulle,,,77327,77370,NANGIS,33,18,,M,Masculin,D,Demi-pensionnaire,1,France,61,Ouvrier qualifié,A,Contrat d'apprentissage,15,4EME GENERALE (en collège),75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77188,77590,FONTAINE-LE-PORT,4321A,77,77188,0771654E
9/10/2024,50023217,Maçon (CAP),5,CAP,232,Bâtiment : construction et couverture,Bâtiment : construction et couverture,214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,15,24,1,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,15,17,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,47,SECONDE GENERALE OU TECHNOLOGIQUE (en lycée),47,SECONDE GENERALE OU TECHNOLOGIQUE (en lycée),93,93014,93390,CLICHY-SOUS-BOIS,4399C,93,93005,93
9/10/2024,50033604,Esthétique cosmétique : soins esthétiques - conseils - vente (CAP),5,CAP,336,"Coiffure, esthétique, et autres spécialités des services aux personnes","Coiffure, esthétique",39,Association de Formation Coiffure,41,CFA Soins Personnels Coiffure - Ambroise-Croisat,13,24,1,638,0750739W,Local du CFA,CFA de la Coiffure Ambroise Croisat,27 boulevard Ney,,,75118,75018,PARIS,13,18,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),39,TERMINALE DE BEP OU 2EME ANNEE CAP EN 2 ANS (en lycée),77,77183,77260,LA FERTE-SOUS-JOUARRE,9602B,92,92012,0771880A
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,18,24,2,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,18,18,,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),93,93015,93470,COUBRON,4322B,93,93046,0931815T
9/10/2024,32031405,Assistant de gestion de PME-PMI (BTS),3,BTS,314,"Comptabilité, gestion","Comptabilité, gestion",33,Centre Régional de Formation Multiprofessionnel,35,CFA CERFAL - Centre Régional Multiprofessionnel,77,24,2,1333,0783323N,UFA (L6232-8),Lycée Saint-Thomas-de-Villeneuve,15 rue de Louviers,,,78551,78100,SAINT-GERMAIN-EN-LAYE,77,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),93,1ERE ANNEE BTS (STATUT APPRENTISSAGE),78,78502,78560,LE PORT-MARLY,4669C,78,78551,0783323N
9/10/2024,32031209,Management des unités commerciales (BTS),3,BTS,312,"Commerce, vente","Commerce, vente",33,Centre Régional de Formation Multiprofessionnel,35,CFA CERFAL - Centre Régional Multiprofessionnel,79,24,1,1333,0783323N,UFA (L6232-8),Lycée Saint-Thomas-de-Villeneuve,15 rue de Louviers,,,78551,78100,SAINT-GERMAIN-EN-LAYE,79,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),45,TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée),78,78158,78150,LE CHESNAY,4771Z,75,75107,993
9/10/2024,50022136,Pâtissier (CAP),5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,68,24,1,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,68,17,N,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),23,3EME GENERALE (en collège),92,92004,92600,ASNIERES-SUR-SEINE,1071C,95,95018,75
9/10/2024,40025507,Systèmes électroniques numériques (BAC PRO),4,BAC PRO,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",178,Association  Institut des Métiers et des Compétence en Alternance,330,CFA IMC Alternance,14,24,1,1335,0755197S,Local du CFA,IMC Alternance,5 rue Saint-Denis,,,75101,75001,PARIS,14,21,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,999,INCONNUE,999,INCONNUE,93,93045,93045,LES LILAS,6202A,75,75056,93
9/10/2024,25031335,"Assurance, banque, finance, spécialité chargé de clientèle particuliers (LP)",2,LICENCE PRO,313,"Finances, banque, assurances","Finances, banque, assurances, immobilier",16,Institut de Formation de la Profession de l'assurance,17,CFA de l'Assurance,16,12,1,537,0922650F,Local du CFA,CFA de l'Assurance,20 bis Jardin Boieldieu,,,92062,92071,PARIS-LA-DEFENSE,16,23,,F,Féminin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,95,2EME ANNEE BTS (STATUT APPRENTISSAGE),95,2EME ANNEE BTS (STATUT APPRENTISSAGE),75,75120,75020,PARIS,6512Z,75,75108,75
9/10/2024,50025523,Préparation et réalisation d'ouvrages électriques (CAP),5,CAP,255,"Electricité, électronique (non compris automatismes, productique)","Électricité, électronique",15,Association pour la Formation Professionnelle dans le Bâtiment et Travaux Publics de Seine et Marne,15,CFA du bâtiment et des travaux publics de Seine-et-Marne  - Nangis,33,24,2,41,0771654E,Local du CFA,CFA du BTP de Nangis,3 bis avenue du Général de Gaulle,,,77327,77370,NANGIS,33,18,,M,Masculin,I,Interne,1,France,56,"Personnel, service direct aux particuliers",A,Contrat d'apprentissage,75,2EME ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77279,77130,MAROLLES-SUR-SEINE,4321A,77,77241,0771654E
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,211,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes (Brétigny)",24,CFA du Bâtiment et des Travaux Publics de Brétigny,14,24,1,57,0911333E,Local du CFA,CFA du Bâtiment et des Travaux Publics,5 avenue Albert Camus,,,91103,91220,BRETIGNY-SUR-ORGE,14,19,,M,Masculin,E,Externe,1,France,37,Cadre administratif et commercial d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),23,3EME GENERALE (en collège),91,91552,91180,SAINT-GERMAIN-LES-ARPAJON,4322A,91,91552,0911899V
9/10/2024,45023311,Equipements sanitaires (BP),4,BP,233,Bâtiment : finitions,Bâtiment : finition,3,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes - St Denis",3,CFA du Bâtiment et des Travaux Publics de Saint-Denis,3,24,2,3,0932230U,Local du CFA,CFA du Bâtiment et des Travaux Publics,21 rue Prairial,,,93066,93200,SAINT-DENIS,3,22,,M,Masculin,E,Externe,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,111,EMPLOI (Y COMPRIS CES),85,1ERE ANNEE BP OU BM (STATUT APPRENTISSAGE),93,93051,93160,NOISY-LE-GRAND,4322A,75,75117,0932230U
9/10/2024,40033402,Restauration (BAC PRO),4,BAC PRO,334,"Accueil, hôtellerie, tourisme","Accueil, hôtellerie, tourisme",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,5,24,2,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,5,19,N,M,Masculin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),89,1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE),92,92025,92700,COLOMBES,5610A,75,75116,0752830U
9/10/2024,50023317,Installateur sanitaire (CAP),5,CAP,233,Bâtiment : finitions,Bâtiment : finition,214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,18,24,2,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,18,17,,M,Masculin,D,Demi-pensionnaire,2,Communauté Européenne,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),94,94059,94420,LE PLESSIS-TREVISSE,4322A,75,75118,0931815T
9/10/2024,32032408,Assistant de manager (BTS),3,BTS,324,"Secrétariat, bureautique","Secrétariat, bureautique",33,Centre Régional de Formation Multiprofessionnel,35,CFA CERFAL - Centre Régional Multiprofessionnel,158,24,1,1332,0771238C,UFA (L6232-8),Lycée Saint-Aspais,36 rue Barthélémy,,,77288,77000,MELUN,158,18,,F,Féminin,D,Demi-pensionnaire,1,France,43,Profession intermédiaire de la santé du travail social,A,Contrat d'apprentissage,51,TERMINALE GENERALE (en lycée),51,TERMINALE GENERALE (en lycée),77,77251,77127,LIEUSAINT,8430A,77,77288,77
9/10/2024,40033402,Restauration (BAC PRO),4,BAC PRO,334,"Accueil, hôtellerie, tourisme","Accueil, hôtellerie, tourisme",26,"Centre National de Formation, de Perfectionnement et de Promotion Sociale de la Charcuterie - CEPROC",28,CFA des Métiers de la Gastronomie,17,24,1,61,0750768C,Local du CFA,CEPROC,19 rue Goubet,,,75119,75019,PARIS,17,18,,F,Féminin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,47,SECONDE GENERALE OU TECHNOLOGIQUE (en lycée),81,2EME ANNEE BEP (STATUT APPRENTISSAGE),92,92004,92600,ASNIERES-SUR-SEINE,9102Z,75,75107,0750768C
9/10/2024,50025431,Serrurier métallier (CAP),5,CAP,254,"Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)","Travail du métal : carrosserie, chaudronnerie, peinture",212,"Association pour la Formation & le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes (Ermont)",25,CFA du Bâtiment et des Travaux Publics d'Ermont,26,24,2,58,0951625A,Local du CFA,CFA du Bâtiment et des Travaux Publics,18 bis rue Ferdinand Buisson,,,95219,95120,ERMONT,26,18,,M,Masculin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,37,SECONDE PROFESSIONNELLE (1ERE A DE BEP) OU 1ERE A CAP EN 2 ANS (en lycée),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),95,95268,95140,GARGES-LES-GONESSE,2511Z,95,95680,0951625A
9/10/2024,25032301,Techniques et activités de l'image et du son spé gestion de production en cinéma d'animation et vidéo (LP Marne la Vallée),2,LICENCE PRO,323,"Techniques de l'image et du son, métiers connexes du spectacle","Techniques de l'image et du son, métiers connexes du spectacle",63,Chambre de Commerce et d'Industrie de Paris,94,"CFA CCIP - Gobelins, l'école de l'image",12,12,1,701,0754197E,Annexe du CFA,Site Paris,73 boulevard Saint-Marcel,,,75113,75013,PARIS,12,23,,F,Féminin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),X,Contrat en cours d'enregistrement par la DDTE (ou autres services d'enregistrement),117,AUTRE,117,AUTRE,91,91097,91800,BOUSSY-SAINT-ANTOINE,5912Z,75,75118,75
9/10/2024,50022713,Installateur thermique (CAP),5,CAP,227,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)","Énergie, climatisation",213,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Rueil Malmaison)",63,CFA du Bâtiment et des Travaux Publics - Rueil Malmaison,27,24,2,15,0921379Z,Local du CFA,CFA du Bâtiment et des Travaux Publics,35 rue Marquis de Coriolis,,,92063,92500,RUEIL-MALMAISON,27,18,,M,Masculin,D,Demi-pensionnaire,2,Communauté Européenne,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),78,78586,78500,SARTROUVILLE,4322B,75,75112,0921379Z
9/10/2024,32025210,Après vente automobile option : véhicules particuliers (BTS),3,BTS,252,Moteurs et mécanique auto,Moteurs et mécanique auto,20,"Groupement National d'Apprentissage des Métiers de la Réparation de l'Automobile, de la Moto et du Cycle",21,CFA du Garac,23,24,1,51,0951285F,Local du CFA,CFA du GARAC,3 boulevard Galliéni,,,95018,95100,ARGENTEUIL,23,21,O,M,Masculin,E,Externe,1,France,43,Profession intermédiaire de la santé du travail social,A,Contrat d'apprentissage,91,2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE),91,2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE),77,77382,77860,QUINCY-VOISINS,4511Z,77,77284,77
9/10/2024,51031205,Vente - action marchande (BEP),5,BEP,312,"Commerce, vente","Commerce, vente",26,"Centre National de Formation, de Perfectionnement et de Promotion Sociale de la Charcuterie - CEPROC",28,CFA des Métiers de la Gastronomie,7,24,2,61,0750768C,Local du CFA,CEPROC,19 rue Goubet,,,75119,75019,PARIS,7,18,,F,Féminin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,37,SECONDE PROFESSIONNELLE (1ERE A DE BEP) OU 1ERE A CAP EN 2 ANS (en lycée),37,SECONDE PROFESSIONNELLE (1ERE A DE BEP) OU 1ERE A CAP EN 2 ANS (en lycée),77,77249,77150,LESIGNY,1071C,94,94079,77
9/10/2024,50025431,Serrurier métallier (CAP),5,CAP,254,"Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)","Travail du métal : carrosserie, chaudronnerie, peinture",214,"Assoc. pour la Formation &le Perfectionnement dans le Bâtiment, les Travaux Publics & activités annexes(Noisy le Grand)",46,CFA du Bâtiment et des Travaux Publics de Noisy-le-Grand,19,24,1,84,0931815T,Local du CFA,CFA du Bâtiment et des Travaux Publics,1-3 rue du Ballon,,,93051,93160,NOISY-LE-GRAND,19,18,,M,Masculin,E,Externe,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,117,AUTRE,117,AUTRE,93,93045,93260,LES LILAS,4332B,94,94080,93
9/10/2024,50025214,Maintenance des véhicules automobiles option : véhicules particuliers (CAP),5,CAP,252,Moteurs et mécanique auto,Moteurs et mécanique auto,43,Chambre des Métiers et de l'Artisanat Nord Seine et Marne,45,CFA Chambre de Métiers et Artisanat du Nord de la Seine-et-Marne,57,24,2,935,0770998S,Local du CFA,CFA de la Chambre de Métiers de Meaux,Avenue des Sablons Bouillants,,,77284,77100,MEAUX,57,17,N,M,Masculin,D,Demi-pensionnaire,1,France,99,Non renseigné (inconnu ou sans objet),A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),77,77392,77230,ROUVRES,4511Z,60,60341,0770998S
9/10/2024,50022136,Pâtissier (CAP),5,CAP,221,"Agro-alimentaire, alimentation, cuisine","Agro-alimentaire, alimentation, cuisine",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,68,24,2,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,68,17,N,F,Féminin,D,Demi-pensionnaire,1,France,54,Employé administratif d'entreprise,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),73,1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE),60,60509,60700,PONT STE MAXENCE,5610A,75,75116,0752830U
9/10/2024,51033403,Métiers de la restauration et de l'hôtellerie (BEP),5,BEP,334,"Accueil, hôtellerie, tourisme","Accueil, hôtellerie, tourisme",36,Association pour le Développement des Métiers de la Table Jean Blat,38,CFA des métiers de la table,50,24,2,73,0752830U,Local du CFA,CFA des Métiers de la Table,17 rue Jacques Ibert,,,75117,75017,PARIS,50,17,N,M,Masculin,E,Externe,1,France,22,Commercant et assimilé,A,Contrat d'apprentissage,23,3EME GENERALE (en collège),79,1ERE ANNEE BEP (STATUT APPRENTISSAGE),92,92051,92200,NEUILLY-SUR-SEINE,5610A,78,78350,0752830U
